,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,2,Nevada,1077913517230,1524604151799,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00102757,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00102757&format=geojson,,,,,reviewed,0,62,nn,00102757,",nn00102757,",",nn,",",origin,phase-data,",19,0.117,0.1467,76.47,ml,earthquake,M 2.0 - Nevada,39,Point,"[-119.5932, 38.7776, 10]",39
0,2.27,offshore Central California,1077909364090,1483764373274,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346536,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346536&format=geojson,,,,,reviewed,0,79,nc,21346536,",nc21346536,",",nc,",",nearby-cities,origin,phase-data,",35,0.05946,0.05,179,md,earthquake,M 2.3 - offshore Central California,40,Point,"[-121.2095, 35.6435, 9.146]",40
0,2.07,Utah,1077888027970,1535488783610,,https://earthquake.usgs.gov/earthquakes/eventpage/uu50282830,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu50282830&format=geojson,,,,,reviewed,0,66,uu,50282830,",uu50282830,",",uu,",",origin,phase-data,",23,0.1365,0.16,51,ml,earthquake,M 2.1 - Utah,41,Point,"[-111.7188333, 41.5336667, 9.43]",41
0,2.02,"7km W of Delta, B.C., MX",1077886219630,1455602871469,,https://earthquake.usgs.gov/earthquakes/eventpage/ci9986713,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci9986713&format=geojson,,,,,reviewed,0,63,ci,9986713,",ci9986713,",",ci,",",nearby-cities,origin,phase-data,",11,0.4479,0.35,248,ml,earthquake,"M 2.0 - 7km W of Delta, B.C., MX",42,Point,"[-115.2675, 32.359, 6.987]",42
0,2.09,Central California,1077881397430,1483764292408,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346476,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346476&format=geojson,,,,,reviewed,0,67,nc,21346476,",nc21346476,",",nc,",",nearby-cities,origin,phase-data,",31,0.1252,0.12,81,md,earthquake,M 2.1 - Central California,43,Point,"[-120.7013333, 36.562, 10.52]",43
0,2.52,"Lassen Peak area, California",1077880574020,1483764286812,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21347520,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21347520&format=geojson,,,,,reviewed,0,98,nc,21347520,",nc21347520,",",nc,",",nearby-cities,origin,phase-data,",5,0.01892,0.29,146,md,earthquake,"M 2.5 - Lassen Peak area, California",44,Point,"[-121.4961667, 40.4721667, -1.995]",44
0,2.34,Central California,1077880001760,1483764281281,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346474,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346474&format=geojson,,,,,automatic,0,84,nc,21346474,",nc21346474,",",nc,",",nearby-cities,origin,phase-data,",40,0.05946,0.25,46,md,earthquake,M 2.3 - Central California,45,Point,"[-120.8768333, 35.5883333, 3.636]",45
0,2.45,Central California,1077878296960,1483764277554,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346472,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346472&format=geojson,,,,,reviewed,0,92,nc,21346472,",nc21346472,",",nc,",",nearby-cities,origin,phase-data,",33,0.06757,0.08,48,md,earthquake,M 2.5 - Central California,46,Point,"[-121.067, 35.7281667, 5.211]",46
0,3.82,Central California,1077870785200,1531160720391,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346462,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346462&format=geojson,48,4.1,,,automatic,0,244,nc,21346462,",ci9986693,nc40153872,nc21346462,usp000cng3,",",ci,nc,nc,us,",",associate,dyfi,focal-mechanism,impact-text,nearby-cities,origin,phase-data,",62,0.05676,0.09,41,ml,earthquake,M 3.8 - Central California,47,Point,"[-120.8618333, 35.5768333, 3.296]",47
0,2.08,"1km NNW of Loma Linda, CA",1077869036630,1459543814410,,https://earthquake.usgs.gov/earthquakes/eventpage/ci9986689,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci9986689&format=geojson,,,,,reviewed,0,67,ci,9986689,",ci9986689,",",ci,",",nearby-cities,origin,phase-data,",31,0.05202,0.2,33,ml,earthquake,"M 2.1 - 1km NNW of Loma Linda, CA",48,Point,"[-117.266, 34.0551667, 11.302]",48
