,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,1.84,Northern California,624752323790,1481291557090,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091350,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091350&format=geojson,,,,,reviewed,0,52,nc,20091350,",nc20091350,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",28,0.006306,0.1,50,md,earthquake,M 1.8 - Northern California,39,Point,"[-121.8406667, 37.1058333, 2.589]",39
0,1.49,Northern California,624752256410,1481291551229,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091349,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091349&format=geojson,,,,,reviewed,0,34,nc,20091349,",nc20091349,",",nc,",",nearby-cities,origin,phase-data,",24,0.02162,0.03,115,md,earthquake,M 1.5 - Northern California,40,Point,"[-121.7095, 36.9718333, 10.636]",40
0,1.34,Northern California,624752182550,1481291546210,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091348,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091348&format=geojson,,,,,reviewed,0,28,nc,20091348,",nc20091348,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",21,0.05315,0.1,52,md,earthquake,M 1.3 - Northern California,41,Point,"[-121.922, 37.1171667, 2.681]",41
0,2.7,Northern California,624752011110,1481291539150,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091334,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091334&format=geojson,,,,,reviewed,0,112,nc,20091334,",nc20091334,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",74,0.01712,0.08,52,md,earthquake,M 2.7 - Northern California,42,Point,"[-121.7945, 37.039, 4.238]",42
0,1.22,Northern California,624751916970,1481291532045,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091333,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091333&format=geojson,,,,,reviewed,0,23,nc,20091333,",nc20091333,",",nc,",",nearby-cities,origin,phase-data,",14,0.03964,0.03,76,md,earthquake,M 1.2 - Northern California,43,Point,"[-121.8653333, 37.1206667, 3.567]",43
0,1.53,Central California,624751759660,1481291528038,,https://earthquake.usgs.gov/earthquakes/eventpage/nc1166867,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc1166867&format=geojson,,,,,reviewed,0,36,nc,1166867,",nc1166867,",",nc,",",nearby-cities,origin,phase-data,",12,0.06847,0.05,195,md,earthquake,M 1.5 - Central California,44,Point,"[-118.8603333, 38.0755, -1.75]",44
0,1.23,Northern California,624751753620,1481291524351,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091338,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091338&format=geojson,,,,,reviewed,0,23,nc,20091338,",nc20091338,",",nc,",",nearby-cities,origin,phase-data,",12,0.06486,0.03,77,md,earthquake,M 1.2 - Northern California,45,Point,"[-121.9161667, 37.1061667, 7.241]",45
0,1.15,Northern California,624751708840,1481291520446,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091332,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091332&format=geojson,,,,,reviewed,0,20,nc,20091332,",nc20091332,",",nc,",",nearby-cities,origin,phase-data,",15,0.03333,0.06,64,md,earthquake,M 1.2 - Northern California,46,Point,"[-121.8758333, 37.1031667, 3.769]",46
0,1.61,"4km NW of Boron, CA",624751560460,1454555199790,,https://earthquake.usgs.gov/earthquakes/eventpage/ci1044349,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci1044349&format=geojson,,,,,reviewed,0,40,ci,1044349,",ci1044349,",",ci,",",origin,phase-data,",0,,0.148,137.5,mc,quarry blast,"M 1.6 Quarry Blast - 4km NW of Boron, CA",47,Point,"[-117.68, 35.03, -0.78]",47
0,1.67,Northern California,624751551260,1481291515340,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091330,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091330&format=geojson,,,,,reviewed,0,43,nc,20091330,",nc20091330,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",40,0.02342,0.06,44,md,earthquake,M 1.7 - Northern California,48,Point,"[-122.0198333, 37.1871667, 10.431]",48
