,index,type,time,mag,place,status,tsunami,sig,net,nst,dmin,rms,gap,magType,longitude,latitude,depth
89,89,earthquake,2004-09-28 21:14:27.040,1.51,Central California,automatic,0,35,nc,10,0.01081,0.01,114.0,md,-120.5018333,35.946,5.041
90,90,earthquake,2004-09-28 21:14:18.890,1.55,Central California,automatic,0,37,nc,11,0.01712,0.09,144.0,md,-120.422,35.8866667,4.648
91,91,earthquake,2004-09-28 21:12:54.470,1.21,Central California,automatic,0,23,nc,15,0.018019999999999998,0.03,90.0,md,-120.4195,35.8715,5.345
92,92,earthquake,2004-09-28 21:12:01.100,1.37,Central California,automatic,0,29,nc,16,0.01892,0.03,82.0,md,-120.4181667,35.8681667,4.422
93,93,earthquake,2004-09-28 21:09:45.550,1.1,Central California,automatic,0,19,nc,7,0.01892,0.01,142.0,md,-120.4198333,35.8696667,5.066
94,94,earthquake,2004-09-28 21:09:35.620,1.28,Central California,automatic,0,25,nc,15,0.01892,0.03,82.0,md,-120.4156667,35.8671667,5.052
95,95,earthquake,2004-09-28 21:08:51.210,1.0,Central California,automatic,0,15,nc,10,0.02973,0.04,117.0,md,-120.4781667,35.9303333,5.17
96,96,earthquake,2004-09-28 21:08:22.160,1.7,Central California,reviewed,0,44,nc,9,0.05495,0.18,210.0,md,-120.8951667,35.5876667,7.533
97,97,earthquake,2004-09-28 21:07:31.850,1.13,Central California,automatic,0,20,nc,5,0.03243,0.02,90.0,md,-121.2383333,36.6506667,5.1
98,98,earthquake,2004-09-28 21:07:20.030,1.42,Central California,automatic,0,31,nc,14,0.05225,0.1,165.0,md,-120.4533333,35.9166667,5.067
99,99,earthquake,2004-09-28 21:04:57.450,1.18,Central California,reviewed,0,21,nc,15,0.02252,0.03,101.0,md,-120.4118333,35.8603333,4.222
100,100,earthquake,2004-09-28 21:03:05.700,1.2,Central California,automatic,0,22,nc,17,0.02252,0.03,113.0,md,-120.4083333,35.8576667,4.742
101,101,earthquake,2004-09-28 21:01:37.490,2.59,Central California,reviewed,0,103,nc,54,0.01622,0.06,38.0,md,-120.4701667,35.9185,5.104
102,102,earthquake,2004-09-28 20:59:09.250,1.28,Central California,reviewed,0,25,nc,20,0.01892,0.04,99.0,md,-120.4726667,35.9256667,5.234
103,103,earthquake,2004-09-28 20:58:55.560,1.19,Central California,reviewed,0,22,nc,12,0.01171,0.04,133.0,md,-120.4955,35.9446667,5.64
104,104,earthquake,2004-09-28 20:57:05.100,1.27,Central California,automatic,0,25,nc,8,0.01892,0.01,133.0,md,-120.4236667,35.8746667,4.67
105,105,earthquake,2004-09-28 20:56:29.310,2.45,Central California,reviewed,0,92,nc,52,0.02162,0.06,46.0,md,-120.561,36.0011667,2.709
106,106,earthquake,2004-09-28 20:55:07.590,2.12,Central California,automatic,0,69,nc,28,0.06937,0.06,63.0,md,-120.324,35.7828333,3.883
107,107,earthquake,2004-09-28 20:54:51.170,1.05,Central California,automatic,0,17,nc,5,0.1351,0.04,215.0,md,-120.3521667,35.892,10.41
108,108,earthquake,2004-09-28 20:54:05.260,2.06,Central California,automatic,0,65,nc,28,0.034230000000000003,0.07,57.0,md,-120.345,35.797,3.66
109,109,earthquake,2004-09-28 20:53:32.450,1.45,Central California,automatic,0,32,nc,14,0.04775,0.13,169.0,md,-120.4605,35.8846667,13.79
110,110,earthquake,2004-09-28 20:51:39.970,1.45,Central California,automatic,0,32,nc,12,0.018019999999999998,0.03,122.0,md,-120.4143333,35.867,4.229
111,111,earthquake,2004-09-28 20:49:41.770,1.2,Central California,reviewed,0,22,nn,6,0.039,0.09300000000000001,94.08,mb,-118.6668,37.9716,6.5
112,112,earthquake,2004-09-28 20:47:31.550,1.79,Central California,automatic,0,49,nc,27,0.04505,0.08,60.0,md,-120.4616667,35.9191667,8.823
113,113,earthquake,2004-09-28 20:43:00.230,1.89,Central California,reviewed,0,55,nc,37,0.009909999999999999,0.06,61.0,md,-120.5015,35.9466667,5.653
114,114,earthquake,2004-09-28 20:41:14.300,1.9,Central California,reviewed,0,56,nc,21,0.019819999999999997,0.05,70.0,md,-120.4221667,35.871,5.292
115,115,earthquake,2004-09-28 20:39:22.910,1.06,Central California,automatic,0,17,nc,6,0.01892,0.01,108.0,md,-120.4208333,35.8711667,5.014
116,116,earthquake,2004-09-28 20:38:33.070,2.11,Central California,reviewed,0,68,nc,37,0.018019999999999998,0.04,45.0,md,-120.4195,35.8705,5.662
117,117,earthquake,2004-09-28 20:35:12.510,2.02,Central California,reviewed,0,63,nc,47,0.018019999999999998,0.04,55.0,md,-120.4018333,35.8541667,5.352
118,118,earthquake,2004-09-28 20:34:20.210,1.49,Central California,automatic,0,34,nc,9,0.018019999999999998,0.01,120.0,md,-120.4223333,35.8745,4.767
119,119,earthquake,2004-09-28 20:31:42.090,1.37,Central California,automatic,0,29,nc,10,0.01622,0.02,86.0,md,-120.3721667,35.825,6.008
120,120,earthquake,2004-09-28 20:30:45.150,1.41,Central California,automatic,0,31,nc,8,0.019819999999999997,0.01,80.0,md,-120.4073333,35.8621667,4.63
121,121,earthquake,2004-09-28 20:30:24.190,1.27,Central California,automatic,0,25,nc,5,0.04955,0.02,143.0,md,-118.7311667,38.0248333,21.255
122,122,earthquake,2004-09-28 20:28:57.750,1.1,Central California,reviewed,0,19,nc,17,0.019819999999999997,0.04,107.0,md,-120.488,35.9376667,5.093
123,123,earthquake,2004-09-28 20:28:22.610,1.14,Central California,reviewed,0,20,nc,22,0.006306,0.05,62.0,md,-120.5016667,35.9501667,5.157
124,124,earthquake,2004-09-28 20:26:25.050,1.59,Central California,automatic,0,39,nc,13,0.019819999999999997,0.02,116.0,md,-120.423,35.8733333,4.355
125,125,earthquake,2004-09-28 20:24:45.610,2.18,Central California,reviewed,0,73,nc,45,0.01712,0.04,52.0,md,-120.3735,35.8248333,6.273
126,126,earthquake,2004-09-28 20:23:17.620,1.04,Central California,automatic,0,17,nc,6,0.03153,0.03,208.0,md,-120.4778333,35.9225,4.581
127,127,earthquake,2004-09-28 20:23:00.890,1.25,Central California,automatic,0,24,nc,6,0.02252,0.01,221.0,md,-120.4845,35.9368333,4.715
128,128,earthquake,2004-09-28 20:20:49.040,2.02,Central California,automatic,0,63,nc,24,0.024319999999999998,0.05,49.0,md,-120.4295,35.8895,5.597
129,129,earthquake,2004-09-28 20:19:38.220,2.07,Central California,automatic,0,66,nc,14,0.01351,0.32,169.0,md,-120.4115,35.893,2.342
130,130,earthquake,2004-09-28 20:18:12.320,2.59,Central California,reviewed,0,103,nc,57,0.02342,0.06,40.0,md,-120.4821667,35.9358333,8.914
131,131,earthquake,2004-09-28 20:17:41.060,1.79,Central California,automatic,0,49,nc,22,0.02072,0.06,46.0,md,-120.4273333,35.8793333,4.557
132,132,earthquake,2004-09-28 20:16:30.290,1.33,Central California,automatic,0,27,nc,9,0.01892,0.01,120.0,md,-120.4233333,35.8745,4.655
133,133,earthquake,2004-09-28 20:10:54.810,1.03,Central California,reviewed,0,16,nc,15,0.02613,0.03,106.0,md,-120.4821667,35.9325,4.98
134,134,earthquake,2004-09-28 20:08:25.360,1.71,Central California,automatic,0,45,nc,13,0.04054,0.17,181.0,md,-120.457,35.9788333,5.689
135,135,earthquake,2004-09-28 20:07:13.690,2.07,Central California,automatic,0,66,nc,28,0.02162,0.05,46.0,md,-120.426,35.8741667,4.935
136,136,earthquake,2004-09-28 20:06:46.710,1.53,Central California,automatic,0,36,nc,16,0.02072,0.04,85.0,md,-120.425,35.8733333,4.346
137,137,earthquake,2004-09-28 20:05:51.490,2.63,Central California,reviewed,0,106,nc,50,0.019819999999999997,0.05,40.0,md,-120.4241667,35.8741667,5.436
138,138,earthquake,2004-09-28 20:04:45.180,1.02,Central California,automatic,0,16,nc,7,0.01712,0.01,115.0,md,-120.4158333,35.8686667,5.164
139,139,earthquake,2004-09-28 20:04:26.710,1.59,Central California,automatic,0,39,nc,11,0.02973,0.02,99.0,md,-120.4781667,35.9276667,4.321
140,140,earthquake,2004-09-28 20:04:15.110,1.06,Central California,automatic,0,17,nc,7,0.03694,0.01,221.0,md,-120.4705,35.9221667,4.281
141,141,earthquake,2004-09-28 20:03:11.810,1.13,Central California,automatic,0,20,nc,6,0.01081,0.01,128.0,md,-120.3853333,35.8333333,3.685
142,142,earthquake,2004-09-28 20:02:52.560,1.09,"12km NNE of Borrego Springs, CA",reviewed,0,18,ci,18,0.1086,0.17,109.0,ml,-116.343,33.3575,11.715
143,143,earthquake,2004-09-28 20:01:46.110,1.07,Central California,automatic,0,18,nc,7,0.04505,0.03,157.0,md,-120.4496667,35.9045,4.313
144,144,earthquake,2004-09-28 20:00:20.470,2.5,Central California,automatic,0,96,nc,18,0.04414,0.04,66.0,md,-120.4481667,35.905,4.578
145,145,earthquake,2004-09-28 19:59:27.680,3.19,Central California,reviewed,0,157,nc,65,0.03243,0.06,40.0,md,-120.4483333,35.9043333,5.814
146,146,earthquake,2004-09-28 19:57:38.650,1.08,Central California,automatic,0,18,nc,9,0.036039999999999996,0.02,150.0,md,-120.4731667,35.9185,4.451
147,147,earthquake,2004-09-28 19:54:42.060,1.4,Central California,automatic,0,30,nc,10,0.01892,0.03,84.0,md,-120.4145,35.8658333,5.165
148,148,earthquake,2004-09-28 19:53:35.330,1.38,Central California,reviewed,0,29,nc,32,0.02072,0.05,104.0,md,-120.4748333,35.9281667,5.014
149,149,earthquake,2004-09-28 19:51:44.980,2.24,Central California,reviewed,0,77,nc,25,0.018019999999999998,0.03,53.0,md,-120.4175,35.8688333,5.332
150,150,earthquake,2004-09-28 19:50:16.770,1.06,Central California,automatic,0,17,nc,6,0.01892,0.01,117.0,md,-120.416,35.867,5.034
151,151,earthquake,2004-09-28 19:48:22.910,2.35,Central California,reviewed,0,85,nc,51,0.02162,0.04,49.0,md,-120.412,35.8618333,5.622
152,152,earthquake,2004-09-28 19:47:30.180,1.19,Central California,automatic,0,22,nc,10,0.02973,0.01,160.0,md,-120.4785,35.9308333,4.749
153,153,earthquake,2004-09-28 19:44:42.610,1.08,Central California,automatic,0,18,nc,5,0.018019999999999998,0.0,120.0,md,-120.4061667,35.8528333,4.185
154,154,earthquake,2004-09-28 19:43:00.660,1.37,Central California,automatic,0,29,nc,13,0.034230000000000003,0.03,85.0,md,-120.3493333,35.7966667,7.85
155,155,earthquake,2004-09-28 19:40:23.520,2.85,Central California,reviewed,0,125,nc,59,0.05315,0.04,42.0,md,-120.3313333,35.7811667,8.428
156,156,earthquake,2004-09-28 19:39:37.510,1.26,Central California,automatic,0,24,nc,8,0.019819999999999997,0.01,121.0,md,-120.424,35.8748333,4.594
